id	kind	defect_class	sites	reliability	needs_rlimit	short_title	found_by	confirmed_build
PYPY-FUZZ-001	abort	out-of-range-codepoint-from-invalid-utf8	pypy_interpreter_pyparser.c:25296 (_maybe_raise_number_error); pypy_interpreter_pyparser.c:30295 (raise_invalid_unicode_char)	deterministic	no	`compile(b"0\x80")` aborts	fusil, fleet_02/03 (broad stdlib)	PyPy 7.3.23 (194f9f44b505, Python 3.11.15)
PYPY-FUZZ-002	systemerror-leak	unvalidated-rpython-helper-call	pypy_module_struct.c:4652 (UnpackFormatIterator_append_utf8); rpython_rlib.c:10474 (unichr_as_utf8)	deterministic	no	`struct.unpack('u')` leaks OutOfRange	fusil, fleet_02 (broad stdlib)	PyPy 7.3.23 (194f9f44b505, Python 3.11.15)
PYPY-FUZZ-003	systemerror-leak	unvalidated-rpython-helper-call	MultibyteIncrementalEncoder_setstate_w -> rbigint.tobytes	deterministic	no	`setstate(-1)` leaks InvalidSignednessError	fusil, fleet_02 (broad stdlib)	PyPy 7.3.23 (194f9f44b505, Python 3.11.15)
PYPY-FUZZ-004	abort	dangling-pointer-after-free	lib_pypy/_lzma.py:~562 (post_decompress_avail_data); lib_pypy/_lzma.py:~575 (clear_input_buffer)	deterministic	no	`_lzma` double free	fusil, fleet_03 (broad stdlib)	PyPy 7.3.23 (194f9f44b505, Python 3.11.15)
PYPY-FUZZ-005	segv	missing-sibling-guard	pypy/module/_io/interp_textio.py:847 (per the static catalog's PYPYR-0001)	deterministic	no	`_dealloc_warn` on a detached wrapper	fusil, fleet_02 (broad stdlib, --test-private)	PyPy 7.3.23 (194f9f44b505, Python 3.11.15)
PYPY-FUZZ-006	segv	crash-instead-of-clean-failure-at-allocation-limit	n/a	4/4 at a 3072 MiB cap in the shipped 5-cap sweep; 6/6 in a separate 6-run measurement. CPython 0/20 across the same five caps	yes	gc.collect() after a caught MemoryError	fusil, fleet_03 (broad stdlib)	PyPy 7.3.23 (194f9f44b505, Python 3.11.15)
PYPY-FUZZ-007	segv	crash-instead-of-clean-failure-at-allocation-limit	lib/pypy3.11/multiprocessing/pool.py:314 (_repopulate_pool_static); lib/pypy3.11/multiprocessing/pool.py:183 (Pool.__init__)	sweeps; 6-7/10 at the right ballast, 0/10 one step either side	yes	`ThreadPool()` at an address-space limit	fusil, fleet_03 (broad stdlib)	PyPy 7.3.23 (194f9f44b505, Python 3.11.15)
PYPY-FUZZ-008	systemerror-leak	out-of-range-codepoint-from-invalid-utf8	pypy_interpreter_pyparser.c:24992 (_maybe_raise_number_error); rpython_rlib_unicodedata.c:542 (_db_index)	deterministic (27/27 cells on PyPy, 0/27 on CPython)	no	`compile(b"0\xf5aa")` leaks KeyError	fusil, fleet_05 (broad stdlib)	PyPy 7.3.23 (194f9f44b505, Python 3.11.15)
PYPY-FUZZ-009	abort	crash-instead-of-clean-failure-at-allocation-limit	n/a	8/8 at 3072 MiB; two distinct windows (1536 and 3072), narrow	yes	glibc double free under allocation pressure	fusil, fleet_05 and fleet_06 (broad stdlib)	PyPy 7.3.23 (194f9f44b505, Python 3.11.15)
PYPY-FUZZ-010	sigill	crash-after-fork-from-thread	lib/pypy3.11/_weakrefset.py:122 (discard); lib/pypy3.11/threading.py:1630 (_after_fork); lib/pypy3.11/multiprocessing/popen_fork.py:62 (_launch, its os.fork())	12/12 on the original script, 3/12 on the 109-line reduction (a race)	yes	SIGILL after fork-from-a-thread	fusil, fleet_05 and fleet_06 (broad stdlib)	PyPy 7.3.23 (194f9f44b505, Python 3.11.15)
PYPY-FUZZ-011	segv	missing-sibling-guard	n/a	deterministic	no	`_pypy_raw_address()` on a released view	fusil, fleet_06 (broad stdlib, --test-private)	PyPy 7.3.23 (194f9f44b505, Python 3.11.15)
PYPY-FUZZ-012	systemerror-leak	out-of-range-codepoint-from-invalid-utf8	implement_3.c:59620 (fastfunc_descr__format___2); pypy_objspace_std_8.c:58764 (Formatter_format_string)	deterministic (6/6 rows on PyPy, 0/6 on CPython)	no	formatting a SyntaxError leaks CheckError	fusil, fleet_06 (broad stdlib)	PyPy 7.3.23 (194f9f44b505, Python 3.11.15)
PYPY-FUZZ-013	segv	missing-sibling-guard	n/a	deterministic	no	uninitialized `BufferedRWPair`	fusil, fleet_07 (--new-uninit variant)	PyPy 7.3.23 (194f9f44b505, Python 3.11.15)
PYPY-FUZZ-014	segv	missing-sibling-guard	lib/pypy3.11/_hashlib/__init__.py (HASH.__init__, sets self.ctx = ffi.NULL); lib/pypy3.11/_hashlib/__init__.py:241 (HMAC.block_size)	deterministic (4/4 failing-construction cases)	no	`HMAC.block_size` on a NULL ctx	fusil, fleet_07 (--new-uninit variant)	PyPy 7.3.23 (194f9f44b505, Python 3.11.15)
PYPY-FUZZ-015	segv	unsynchronised-text-layer-at-eof	n/a	a race, so a rate rather than a verdict. Minimal 2-thread form: 3-6/6 single runs depending on stream and machine load; wrapped in 20 rounds it is 6/6 (CPython 0/6). The 335-line reduction is 11/12 single runs. Two threads suffice; one thread is 0/4	no	concurrent next() on a shared file iterator	fusil, fleet_08 (--concurrency-stress variant)	PyPy 7.3.23 (194f9f44b505, Python 3.11.15)
